# Title : Technical directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all technical files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20200329162202
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,institution,date_update
aoml/1900269/1900269_tech.nc,AO,20160527010838
aoml/1900270/1900270_tech.nc,AO,20181016200355
aoml/1900271/1900271_tech.nc,AO,20160527010850
aoml/1900272/1900272_tech.nc,AO,20181016200411
aoml/1900273/1900273_tech.nc,AO,20181016200417
aoml/1900274/1900274_tech.nc,AO,20181016200348
aoml/1900353/1900353_tech.nc,AO,20181016200748
aoml/1900354/1900354_tech.nc,AO,20181016200754
aoml/1900355/1900355_tech.nc,AO,20181016200801
aoml/1900356/1900356_tech.nc,AO,20181016200803
aoml/1900357/1900357_tech.nc,AO,20181016200809
aoml/1900358/1900358_tech.nc,AO,20160527015530
aoml/1900359/1900359_tech.nc,AO,20160421185929
aoml/1900360/1900360_tech.nc,AO,20160421185924
aoml/1900361/1900361_tech.nc,AO,20160421185914
aoml/1900362/1900362_tech.nc,AO,20160421185514
aoml/1900363/1900363_tech.nc,AO,20160421185517
aoml/1900364/1900364_tech.nc,AO,20160421185520
aoml/1900365/1900365_tech.nc,AO,20180207210029
aoml/1900366/1900366_tech.nc,AO,20160421190227
aoml/1900406/1900406_tech.nc,AO,20160527015534
aoml/1900407/1900407_tech.nc,AO,20160527015539
aoml/1900408/1900408_tech.nc,AO,20160527015544
aoml/1900409/1900409_tech.nc,AO,20181017201131
aoml/1900410/1900410_tech.nc,AO,20181017201140
aoml/1900411/1900411_tech.nc,AO,20181017201152
aoml/1900412/1900412_tech.nc,AO,20181017201203
aoml/1900413/1900413_tech.nc,AO,20181017201214
aoml/1900414/1900414_tech.nc,AO,20160421204703
aoml/1900415/1900415_tech.nc,AO,20160421192516
aoml/1900424/1900424_tech.nc,AO,20160421192456
aoml/1900425/1900425_tech.nc,AO,20160421192502
aoml/1900426/1900426_tech.nc,AO,20160421192447
aoml/1900427/1900427_tech.nc,AO,20160421192442
aoml/1900428/1900428_tech.nc,AO,20160421192501
aoml/1900429/1900429_tech.nc,AO,20160421192437
aoml/1900430/1900430_tech.nc,AO,20160421185844
aoml/1900431/1900431_tech.nc,AO,20160421192508
aoml/1900432/1900432_tech.nc,AO,20181024200211
aoml/1900435/1900435_tech.nc,AO,20181024200216
aoml/1900438/1900438_tech.nc,AO,20181024200633
aoml/1900439/1900439_tech.nc,AO,20181024200721
