# Title : Bio-Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual bio-profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.2
# Date of update : 20230426142402
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,date,latitude,longitude,ocean,profiler_type,institution,parameters,parameter_data_mode,date_update
coriolis/3902131/profiles/BR3902131_030.nc,20180512115540,-6.800,5.694,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083719
coriolis/3902131/profiles/BR3902131_031.nc,20180514120620,-6.788,5.721,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083720
coriolis/3902131/profiles/BR3902131_032.nc,20180516120120,-6.722,5.733,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083721
coriolis/3902131/profiles/BR3902131_033.nc,20180518120320,-6.708,5.782,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083722
coriolis/3902131/profiles/BR3902131_034.nc,20180520120120,-6.639,5.780,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083722
coriolis/3902131/profiles/BR3902131_035.nc,20180522115840,-6.595,5.822,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083723
coriolis/3902131/profiles/BR3902131_036.nc,20180524120720,-6.605,5.817,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083724
coriolis/3902131/profiles/BR3902131_037.nc,20180526120320,-6.605,5.816,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083725
coriolis/3902131/profiles/BR3902131_038.nc,20180528120120,-6.585,5.770,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083726
coriolis/3902131/profiles/BR3902131_039.nc,20180530120320,-6.609,5.796,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083727
coriolis/3902131/profiles/BR3902131_040.nc,20180601115540,-6.621,5.747,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083728
